slug,date,open,high,low,close,currency
EUR/BRL,25/04/2005,3.1405,3.1405,3.1405,3.1405,BRL
EUR/BRL,26/04/2005,3.1247,3.1247,3.1247,3.1247,BRL
EUR/BRL,27/04/2005,3.1265,3.1265,3.1265,3.1265,BRL
EUR/BRL,28/04/2005,3.1004,3.1004,3.1004,3.1004,BRL
EUR/BRL,29/04/2005,3.1004,3.1004,3.1004,3.1459,BRL
EUR/BRL,02/05/2005,3.1459,3.1459,3.1459,3.1043,BRL
EUR/BRL,03/05/2005,3.0842,3.0842,3.0842,3.0842,BRL
EUR/BRL,04/05/2005,3.0758,3.0758,3.0758,3.0758,BRL
EUR/BRL,06/05/2005,3.0513,3.0513,3.0513,3.0513,BRL
EUR/BRL,09/05/2005,3.008,3.008,3.008,3.008,BRL
EUR/BRL,10/05/2005,3.0017,3.0017,3.0017,3.0017,BRL
EUR/BRL,11/05/2005,3.038,3.038,3.038,3.038,BRL
EUR/BRL,12/05/2005,2.9863,2.9863,2.9863,2.9863,BRL
EUR/BRL,13/05/2005,2.9863,2.9863,2.9863,2.9671,BRL
EUR/BRL,17/05/2005,2.9802,2.9802,2.9802,2.9802,BRL
EUR/BRL,18/05/2005,2.9763,2.9763,2.9763,2.9763,BRL
EUR/BRL,19/05/2005,2.9594,2.9594,2.9594,2.9594,BRL
EUR/BRL,20/05/2005,2.9339,2.9339,2.9339,2.9339,BRL
EUR/BRL,23/05/2005,2.9339,2.9339,2.9339,2.9122,BRL
EUR/BRL,24/05/2005,2.9084,2.9084,2.9084,2.9084,BRL
EUR/BRL,25/05/2005,2.9084,2.9084,2.9001,2.9001,BRL
EUR/BRL,26/05/2005,2.8711,2.8711,2.8711,2.8711,BRL
EUR/BRL,27/05/2005,2.8691,2.8691,2.8691,2.8691,BRL
EUR/BRL,30/05/2005,2.8293,2.8293,2.8293,2.8293,BRL
EUR/BRL,31/05/2005,2.7714,2.7714,2.7714,2.7714,BRL
EUR/BRL,01/06/2005,2.772,2.772,2.772,2.772,BRL
EUR/BRL,02/06/2005,2.772,2.772,2.772,2.8429,BRL
EUR/BRL,03/06/2005,2.8141,2.8141,2.8141,2.8141,BRL
EUR/BRL,06/06/2005,2.8256,2.8256,2.8256,2.8256,BRL
EUR/BRL,07/06/2005,2.8587,2.8587,2.8587,2.8587,BRL
EUR/BRL,08/06/2005,2.8853,2.8853,2.8853,2.8853,BRL
EUR/BRL,09/06/2005,2.8568,2.8568,2.8568,2.8568,BRL
