slug,date,open,high,low,close,currency
EUR/AED,09/04/2014,5.064,5.0748,5.0606,5.064,AED
EUR/AED,10/04/2014,5.0861,5.1026,5.081,5.0861,AED
EUR/AED,11/04/2014,5.0982,5.1024,5.09,5.0982,AED
EUR/AED,14/04/2014,5.0973,5.0973,5.0694,5.0973,AED
EUR/AED,15/04/2014,5.0723,5.0773,5.0638,5.0723,AED
EUR/AED,16/04/2014,5.0706,5.0834,5.068,5.0706,AED
EUR/AED,17/04/2014,5.0744,5.089,5.0744,5.0744,AED
EUR/AED,18/04/2014,5.0721,5.0721,5.0168,5.0721,AED
EUR/AED,21/04/2014,5.0168,5.0721,5.0168,5.0168,AED
EUR/AED,22/04/2014,5.0721,5.0751,5.0615,5.0721,AED
EUR/AED,23/04/2014,5.0678,5.0843,5.0669,5.0692,AED
EUR/AED,24/04/2014,5.0731,5.0816,5.0636,5.0731,AED
EUR/AED,25/04/2014,5.0788,5.0831,5.0773,5.0788,AED
EUR/AED,28/04/2014,5.0788,5.0935,5.074,5.0788,AED
EUR/AED,29/04/2014,5.0856,5.0944,5.0687,5.0856,AED
EUR/AED,30/04/2014,5.0707,5.0933,5.0619,5.0707,AED
EUR/AED,01/05/2014,5.0913,5.0953,5.0095,5.0913,AED
EUR/AED,02/05/2014,5.0917,5.0917,5.0719,5.0917,AED
EUR/AED,05/05/2014,5.0924,5.0978,5.0924,5.0924,AED
EUR/AED,06/05/2014,5.0939,5.1209,5.0934,5.0939,AED
EUR/AED,07/05/2014,5.1155,5.1168,5.1082,5.1137,AED
EUR/AED,08/05/2014,5.1074,5.1363,5.0852,5.1074,AED
EUR/AED,09/05/2014,5.0821,5.0821,5.0507,5.0821,AED
EUR/AED,12/05/2014,5.0516,5.0566,5.0511,5.0516,AED
EUR/AED,13/05/2014,5.0501,5.0553,5.0305,5.0501,AED
EUR/AED,14/05/2014,5.0321,5.04,5.0299,5.0321,AED
EUR/AED,15/05/2014,5.0358,5.0399,5.011,5.0358,AED
EUR/AED,16/05/2014,5.035,5.0386,5.0246,5.035,AED
EUR/AED,19/05/2014,4.9593,5.0421,4.9593,4.9593,AED
EUR/AED,20/05/2014,5.034,5.034,5.0226,5.0333,AED
EUR/AED,21/05/2014,5.0299,5.0373,5.0135,5.0299,AED
EUR/AED,22/05/2014,5.0221,5.0246,5.0108,5.0236,AED
EUR/AED,23/05/2014,5.0133,5.0133,4.9986,5.0133,AED
EUR/AED,26/05/2014,5.0032,5.0124,5.0011,5.0032,AED
EUR/AED,27/05/2014,5.0144,5.0171,4.9991,5.0113,AED
EUR/AED,28/05/2014,5.0028,5.0063,4.99,5.0059,AED
EUR/AED,29/05/2014,4.9891,5.0002,4.9331,4.9891,AED
EUR/AED,30/05/2014,4.9938,5.0098,4.9931,4.9938,AED
EUR/AED,02/06/2014,5.0052,5.0052,4.9914,5.0052,AED
EUR/AED,03/06/2014,4.9917,5.008,4.9917,4.9917,AED
EUR/AED,04/06/2014,5.0008,5.0065,4.9947,4.9999,AED
EUR/AED,05/06/2014,4.9934,5.0121,4.9584,4.9934,AED
EUR/AED,06/06/2014,5.0151,5.0202,5.0026,5.0153,AED
EUR/AED,09/06/2014,5.009,5.0153,4.9881,5.009,AED
EUR/AED,10/06/2014,4.9887,4.9927,4.9683,4.9887,AED
EUR/AED,11/06/2014,4.9707,4.9761,4.9644,4.9707,AED
EUR/AED,12/06/2014,4.9686,4.9788,4.9622,4.9686,AED
EUR/AED,13/06/2014,4.9749,4.985,4.9653,4.9749,AED
EUR/AED,16/06/2014,4.971,4.9818,4.9619,4.971,AED
EUR/AED,17/06/2014,4.9798,4.9846,4.9699,4.9835,AED
EUR/AED,18/06/2014,4.9731,4.9848,4.9721,4.9731,AED
EUR/AED,19/06/2014,4.9889,5.0078,4.9879,4.9889,AED
EUR/AED,20/06/2014,4.9964,5.003,4.9811,4.9964,AED
EUR/AED,23/06/2014,4.9955,4.9958,4.9834,4.992,AED
EUR/AED,24/06/2014,4.9931,5.003,4.9881,4.9938,AED
EUR/AED,25/06/2014,4.9949,5.0114,4.9938,4.9949,AED
EUR/AED,26/06/2014,5.0029,5.0065,4.985,5.0029,AED
EUR/AED,27/06/2014,4.9971,5.0073,4.9965,4.9971,AED
EUR/AED,30/06/2014,5.01,5.0278,4.9293,5.01,AED
EUR/AED,01/07/2014,5.0267,5.0278,5.0216,5.0267,AED
EUR/AED,02/07/2014,5.0217,5.0222,5.0083,5.0225,AED
EUR/AED,03/07/2014,5.0138,5.0153,4.9919,5.0138,AED
EUR/AED,04/07/2014,4.9965,4.9969,4.9877,4.9965,AED
EUR/AED,07/07/2014,4.9906,4.9941,4.986,4.9906,AED
EUR/AED,08/07/2014,4.9958,4.9982,4.9894,4.9958,AED
EUR/AED,09/07/2014,4.9986,5.0083,4.9945,4.9986,AED
EUR/AED,10/07/2014,5.0102,5.0113,4.9914,5.008,AED
EUR/AED,11/07/2014,4.9936,4.9999,4.9916,4.9936,AED
EUR/AED,14/07/2014,4.996,5.0055,4.9933,4.996,AED
EUR/AED,15/07/2014,5.0002,5.0029,4.9802,5.0002,AED
EUR/AED,16/07/2014,4.9822,4.9822,4.9662,4.9822,AED
EUR/AED,17/07/2014,4.9668,4.971,4.9625,4.9668,AED
EUR/AED,18/07/2014,4.9631,4.9686,4.9554,4.9609,AED
EUR/AED,21/07/2014,4.8971,4.9717,4.8971,4.8971,AED
EUR/AED,22/07/2014,4.9657,4.966,4.9423,4.9657,AED
EUR/AED,23/07/2014,4.9438,4.9462,4.9405,4.944,AED
EUR/AED,24/07/2014,4.9418,4.9497,4.9333,4.9411,AED
EUR/AED,25/07/2014,4.9429,4.9466,4.9297,4.9429,AED
EUR/AED,28/07/2014,4.9308,4.9343,4.93,4.9308,AED
EUR/AED,29/07/2014,4.9333,4.9344,4.9238,4.9333,AED
EUR/AED,30/07/2014,4.9231,4.9242,4.9093,4.9231,AED
EUR/AED,31/07/2014,4.9174,4.9194,4.9115,4.9174,AED
EUR/AED,01/08/2014,4.9153,4.9352,4.9126,4.9153,AED
EUR/AED,04/08/2014,4.9299,4.9304,4.9254,4.9299,AED
EUR/AED,05/08/2014,4.9267,4.9281,4.9049,4.9275,AED
EUR/AED,06/08/2014,4.9087,4.9098,4.8973,4.9091,AED
EUR/AED,07/08/2014,4.9128,4.917,4.8975,4.9128,AED
EUR/AED,08/08/2014,4.9045,4.9306,4.899,4.9045,AED
EUR/AED,11/08/2014,4.9234,4.9234,4.9124,4.9234,AED
EUR/AED,12/08/2014,4.9135,4.9135,4.8975,4.9135,AED
EUR/AED,13/08/2014,4.9069,4.9224,4.8999,4.9076,AED
EUR/AED,14/08/2014,4.9072,4.921,4.9018,4.9072,AED
EUR/AED,15/08/2014,4.9057,4.9236,4.9044,4.9057,AED
EUR/AED,18/08/2014,4.9163,4.9164,4.9021,4.9183,AED
EUR/AED,19/08/2014,4.9027,4.9047,4.8882,4.9058,AED
EUR/AED,20/08/2014,4.89,4.8904,4.8738,4.89,AED
EUR/AED,21/08/2014,4.8676,4.8775,4.8625,4.8676,AED
EUR/AED,22/08/2014,4.8754,4.8817,4.8544,4.8754,AED
EUR/AED,25/08/2014,4.8623,4.8623,4.841,4.8623,AED
EUR/AED,26/08/2014,4.8411,4.8496,4.8411,4.8411,AED
EUR/AED,27/08/2014,4.8353,4.8494,4.8305,4.8353,AED
EUR/AED,28/08/2014,4.8423,4.8525,4.8327,4.8423,AED
EUR/AED,29/08/2014,4.8408,4.8443,4.8257,4.8408,AED
EUR/AED,01/09/2014,4.774,4.8243,4.774,4.774,AED
EUR/AED,02/09/2014,4.8197,4.8224,4.8138,4.8197,AED
EUR/AED,03/09/2014,4.8206,4.8294,4.8184,4.8206,AED
EUR/AED,04/09/2014,4.8283,4.8283,4.7433,4.8283,AED
EUR/AED,05/09/2014,4.7475,4.7666,4.7448,4.7475,AED
EUR/AED,08/09/2014,4.7547,4.7548,4.6884,4.7547,AED
EUR/AED,09/09/2014,4.7336,4.7432,4.7229,4.7336,AED
EUR/AED,10/09/2014,4.7501,4.7571,4.737,4.7501,AED
EUR/AED,11/09/2014,4.7435,4.7543,4.7356,4.7435,AED
EUR/AED,12/09/2014,4.7447,4.7578,4.7407,4.7447,AED
EUR/AED,15/09/2014,4.6787,4.7562,4.6787,4.6787,AED
EUR/AED,16/09/2014,4.7502,4.7641,4.7458,4.7502,AED
EUR/AED,17/09/2014,4.7568,4.7637,4.7522,4.7562,AED
EUR/AED,18/09/2014,4.7169,4.7461,4.7169,4.7142,AED
EUR/AED,19/09/2014,4.743,4.7461,4.7112,4.743,AED
EUR/AED,22/09/2014,4.7224,4.7224,4.7079,4.6548,AED
EUR/AED,23/09/2014,4.7174,4.7349,4.7168,4.7172,AED
EUR/AED,24/09/2014,4.7182,4.7207,4.6915,4.7182,AED
EUR/AED,25/09/2014,4.691,4.6927,4.6615,4.6901,AED
EUR/AED,26/09/2014,4.6824,4.6826,4.6554,4.6824,AED
EUR/AED,29/09/2014,4.61,4.6672,4.61,4.61,AED
EUR/AED,30/09/2014,4.6582,4.6614,4.6151,4.6582,AED
EUR/AED,01/10/2014,4.6357,4.6399,4.6211,4.6363,AED
EUR/AED,02/10/2014,4.6342,4.6571,4.6324,4.6342,AED
EUR/AED,03/10/2014,4.6511,4.6511,4.5913,4.6511,AED
EUR/AED,06/10/2014,4.5933,4.6202,4.5649,4.5649,AED
EUR/AED,07/10/2014,4.6421,4.6472,4.6204,4.6419,AED
EUR/AED,08/10/2014,4.6481,4.6582,4.6362,4.6513,AED
EUR/AED,09/10/2014,4.6759,4.6957,4.6542,4.6764,AED
EUR/AED,10/10/2014,4.6577,4.6672,4.6305,4.6584,AED
EUR/AED,13/10/2014,4.6359,4.6621,4.6359,4.5832,AED
EUR/AED,14/10/2014,4.672,4.6727,4.6413,4.672,AED
EUR/AED,15/10/2014,4.6397,4.7188,4.6369,4.6397,AED
EUR/AED,16/10/2014,4.7068,4.7143,4.6669,4.7068,AED
EUR/AED,17/10/2014,4.7004,4.7119,4.6807,4.7004,AED
EUR/AED,20/10/2014,4.6838,4.6941,4.6365,4.6838,AED
EUR/AED,21/10/2014,4.6962,4.712,4.6694,4.6975,AED
EUR/AED,22/10/2014,4.6663,4.6753,4.6443,4.6663,AED
EUR/AED,23/10/2014,4.6426,4.6533,4.632,4.6426,AED
EUR/AED,24/10/2014,4.6436,4.659,4.6386,4.6436,AED
EUR/AED,27/10/2014,4.6511,4.6704,4.5775,4.5775,AED
EUR/AED,28/10/2014,4.6618,4.6861,4.6568,4.6625,AED
EUR/AED,29/10/2014,4.6765,4.6873,4.671,4.6759,AED
EUR/AED,30/10/2014,4.6364,4.6364,4.6102,4.6396,AED
EUR/AED,31/10/2014,4.6287,4.6287,4.5848,4.628,AED
EUR/AED,03/11/2014,4.5511,4.591,4.5511,4.5511,AED
EUR/AED,04/11/2014,4.5883,4.6112,4.5879,4.5855,AED
EUR/AED,05/11/2014,4.6068,4.6131,4.5747,4.6083,AED
EUR/AED,06/11/2014,4.5835,4.5996,4.5512,4.5794,AED
EUR/AED,07/11/2014,4.5433,4.5659,4.5394,4.5451,AED
EUR/AED,10/11/2014,4.5732,4.5919,4.5644,4.4825,AED
EUR/AED,11/11/2014,4.5613,4.5666,4.5524,4.5609,AED
EUR/AED,12/11/2014,4.5752,4.5875,4.5637,4.5783,AED
EUR/AED,13/11/2014,4.5657,4.5853,4.5646,4.5626,AED
EUR/AED,14/11/2014,4.5761,4.5828,4.5534,4.5794,AED
EUR/AED,17/11/2014,4.5982,4.6028,4.5692,4.501,AED
EUR/AED,18/11/2014,4.5721,4.6033,4.5721,4.569,AED
EUR/AED,19/11/2014,4.5985,4.6138,4.5941,4.6017,AED
EUR/AED,20/11/2014,4.6053,4.6132,4.5913,4.6042,AED
EUR/AED,21/11/2014,4.6064,4.614,4.5556,4.6039,AED
EUR/AED,24/11/2014,4.5485,4.5657,4.5431,4.5485,AED
EUR/AED,25/11/2014,4.562,4.5791,4.5548,4.5648,AED
EUR/AED,26/11/2014,4.5807,4.5981,4.5688,4.5796,AED
EUR/AED,27/11/2014,4.5895,4.597,4.5758,4.591,AED
EUR/AED,28/11/2014,4.5715,4.585,4.5633,4.5748,AED
